numTreatments,instCode,journals,dois,country,name,type,country_name,region
2,NIGP,Deutsche Entomologische Zeitschrift;ZooKeys,10.3897/dez.64.11724;10.3897/zookeys.1005.57629,CN,Naking Institute of Geology and Palaeontology,,China,GS
26,TMSA,Deutsche Entomologische Zeitschrift;ZooKeys,10.3897/dez.65.23538;10.3897/dez.65.25747;10.3897/zookeys.879.37721;10.3897/dez.63.7556;10.3897/zookeys.688.13632,ZA,Transvaal Museum,,South Africa,GS
85,MfN,Deutsche Entomologische Zeitschrift;Nota Lepidopterologica;ZooKeys;Subterranean Biology,10.3897/dez.65.25747;10.3897/dez.65.26693;10.3897/nl.41.26835;10.3897/dez.63.7556;10.3897/dez.63.10799;10.3897/zookeys.963.53470;10.3897/subtbiol.37.60483;10.3897/dez.68.61819,DE,Museum für Naturkunde,MUSEUM,Germany,GN
271,SMNK,Deutsche Entomologische Zeitschrift;ZooKeys;Nota Lepidopterologica;Zoosystematics and Evolution,10.3897/dez.65.25747;10.3897/zookeys.828.32200;10.3897/zookeys.800.26292;10.3897/nl.40.11184;10.3897/zookeys.556.6126;10.3897/zse.96.55210;10.3897/zookeys.603.7480;10.3897/zookeys.582.7709;10.3897/zookeys.1028.62347,DE,Staatliches Museum fuer Naturkunde Karlsruhe (State Museum of Natural History),,Germany,GN
176,NMPC,Deutsche Entomologische Zeitschrift;ZooKeys,10.3897/dez.65.26261;10.3897/zookeys.837.32057;10.3897/zookeys.889.34690;10.3897/zookeys.800.26292;10.3897/zookeys.796.22517;10.3897/zookeys.796.21536;10.3897/zookeys.736.21628;10.3897/zookeys.715.20497;10.3897/zookeys.715.15913;10.3897/zookeys.706.18081;10.3897/zookeys.853.33311;10.3897/zookeys.656.11676;10.3897/zookeys.912.47719;10.3897/zookeys.577.7301;10.3897/zookeys.963.54714;10.3897/zookeys.681.12522;10.3897/zookeys.974.56059;10.3897/dez.67.50078;10.3897/zookeys.746.23637,CZ,National Museum Prague,,Czechia,GN
19,KMNH,Deutsche Entomologische Zeitschrift;ZooKeys,10.3897/dez.65.26261;10.3897/zookeys.933.48771;10.3897/zookeys.646.10701;10.3897/zookeys.638.10329;10.3897/zookeys.620.9924;10.3897/zookeys.520.5943,JP,Kitakyushu Museum of Natural History and Human History,HERBARIUM,Japan,GN
10,IBTP,Deutsche Entomologische Zeitschrift,10.3897/dez.65.26261,,,,,
428,BMNH,Deutsche Entomologische Zeitschrift;ZooKeys;Zoosystematics and Evolution;Journal of Hymenoptera Research;Evolutionary Systematics,10.3897/dez.65.26261;10.3897/dez.65.27424;10.3897/zookeys.881.34646;10.3897/zse.94.26859;10.3897/zookeys.806.30051;10.3897/zookeys.800.26292;10.3897/zookeys.796.22517;10.3897/jhr.54.10457;10.3897/jhr.58.12919;10.3897/jhr.62.23559;10.3897/jhr.63.12754;10.3897/jhr.70.34206;10.3897/jhr.72.38908;10.3897/zookeys.789.27022;10.3897/zookeys.785.28006;10.3897/zookeys.766.24523;10.3897/zookeys.753.22366;10.3897/zookeys.748.23856;10.3897/zookeys.736.21628;10.3897/zookeys.715.20497;10.3897/zookeys.704.13304;10.3897/zookeys.878.37403;10.3897/zookeys.861.32594;10.3897/zookeys.853.33311;10.3897/zookeys.803.28903;10.3897/zookeys.700.11784;10.3897/zookeys.693.13012;10.3897/zookeys.669.12608;10.3897/zookeys.664.11881;10.3897/zookeys.681.12522;10.3897/zookeys.674.11435;10.3897/zookeys.658.11569;10.3897/zookeys.974.54536;10.3897/zookeys.982.52363;10.3897/jhr.76.48004;10.3897/jhr.76.38340;10.3897/dez.66.47447;10.3897/zookeys.1023.53404;10.3897/zookeys.1028.61018;10.3897/JHR.50.8220;10.3897/zookeys.787.26948;10.3897/zookeys.767.21105;10.3897/zookeys.521.5995;10.3897/zookeys.522.10294;10.3897/zookeys.758.23019;10.3897/zookeys.746.23637;10.3897/zookeys.541.6297;10.3897/zookeys.551.6168;10.3897/dez.63.7556;10.3897/zookeys.670.11839;10.3897/zookeys.651.10336;10.3897/zookeys.637.9384;10.3897/zookeys.558.6040;10.3897/zookeys.559.6134;10.3897/zookeys.565.7185;10.3897/zookeys.577.7301;10.3897/zookeys.597.7520;10.3897/zookeys.944.49921;10.3897/zookeys.651.11235;10.3897/zookeys.649.10213;10.3897/zookeys.640.10334;10.3897/zookeys.639.10893;10.3897/zookeys.636.10216;10.3897/zookeys.628.9805;10.3897/zookeys.612.7873;10.3897/zookeys.604.8203;10.3897/evolsyst.4.60525;10.3897/zookeys.566.7344;10.3897/zookeys.524.6075,,,,,
333,NHMW,Deutsche Entomologische Zeitschrift;ZooKeys;Subterranean Biology,10.3897/dez.65.26261;10.3897/zookeys.837.32057;10.3897/zookeys.835.33231;10.3897/zookeys.833.32413;10.3897/zookeys.800.26292;10.3897/zookeys.796.22517;10.3897/zookeys.795.28384;10.3897/zookeys.786.28270;10.3897/subtbiol.23.14930;10.3897/zookeys.715.15913;10.3897/zookeys.878.37403;10.3897/zookeys.846.31497;10.3897/zookeys.842.33052;10.3897/zookeys.669.12561;10.3897/zookeys.803.28903;10.3897/zookeys.687.13844;10.3897/zookeys.685.13890;10.3897/zookeys.554.6065;10.3897/zookeys.577.7254;10.3897/zookeys.681.12522;10.3897/zookeys.619.9951;10.3897/zookeys.977.57088;10.3897/zookeys.993.53805;10.3897/zookeys.599.8168;10.3897/zookeys.582.7426;10.3897/zookeys.1004.58537;10.3897/zookeys.523.6066;10.3897/zookeys.1010.58759;10.3897/subtbiol.38.64762;10.3897/zookeys.1035.65767;10.3897/zookeys.1037.64038;10.3897/zookeys.769.25258;10.3897/zookeys.761.24214,AT,"Naturhistorisches Museum, Wien",MUSEUM,Austria,GN
92,ZIN,Deutsche Entomologische Zeitschrift;ZooKeys;Nota Lepidopterologica;Journal of Hymenoptera Research,10.3897/dez.65.26261;10.3897/zookeys.837.32057;10.3897/nl.40.13085;10.3897/zookeys.853.33311;10.3897/jhr.75.47006;10.3897/zookeys.914.46652;10.3897/zookeys.953.52282;10.3897/zookeys.662.11267;10.3897/zookeys.974.56059;10.3897/zookeys.995.55981;10.3897/jhr.76.48004;10.3897/jhr.74.39299;10.3897/zookeys.596.8725;10.3897/zookeys.593.8511;10.3897/zookeys.970.54801;10.3897/zookeys.1028.61018,RU,"Russian Academy of Sciences, Zoological Institute, Zoological Museum",MUSEUM,Russian Federation,GN
