numTreatments,instCode,journals,dois
2,NIGP,Deutsche Entomologische Zeitschrift;ZooKeys,10.3897/dez.64.11724;10.3897/zookeys.1005.57629
26,TMSA,Deutsche Entomologische Zeitschrift;ZooKeys,10.3897/dez.65.23538;10.3897/dez.65.25747;10.3897/zookeys.879.37721;10.3897/dez.63.7556;10.3897/zookeys.688.13632
85,MfN,Deutsche Entomologische Zeitschrift;Nota Lepidopterologica;ZooKeys;Subterranean Biology,10.3897/dez.65.25747;10.3897/dez.65.26693;10.3897/nl.41.26835;10.3897/dez.63.7556;10.3897/dez.63.10799;10.3897/zookeys.963.53470;10.3897/subtbiol.37.60483;10.3897/dez.68.61819
271,SMNK,Deutsche Entomologische Zeitschrift;ZooKeys;Nota Lepidopterologica;Zoosystematics and Evolution,10.3897/dez.65.25747;10.3897/zookeys.828.32200;10.3897/zookeys.800.26292;10.3897/nl.40.11184;10.3897/zookeys.556.6126;10.3897/zse.96.55210;10.3897/zookeys.603.7480;10.3897/zookeys.582.7709;10.3897/zookeys.1028.62347
176,NMPC,Deutsche Entomologische Zeitschrift;ZooKeys,10.3897/dez.65.26261;10.3897/zookeys.837.32057;10.3897/zookeys.889.34690;10.3897/zookeys.800.26292;10.3897/zookeys.796.22517;10.3897/zookeys.796.21536;10.3897/zookeys.736.21628;10.3897/zookeys.715.20497;10.3897/zookeys.715.15913;10.3897/zookeys.706.18081;10.3897/zookeys.853.33311;10.3897/zookeys.656.11676;10.3897/zookeys.912.47719;10.3897/zookeys.577.7301;10.3897/zookeys.963.54714;10.3897/zookeys.681.12522;10.3897/zookeys.974.56059;10.3897/dez.67.50078;10.3897/zookeys.746.23637
19,KMNH,Deutsche Entomologische Zeitschrift;ZooKeys,10.3897/dez.65.26261;10.3897/zookeys.933.48771;10.3897/zookeys.646.10701;10.3897/zookeys.638.10329;10.3897/zookeys.620.9924;10.3897/zookeys.520.5943
10,IBTP,Deutsche Entomologische Zeitschrift,10.3897/dez.65.26261
428,BMNH,Deutsche Entomologische Zeitschrift;ZooKeys;Zoosystematics and Evolution;Journal of Hymenoptera Research;Evolutionary Systematics,10.3897/dez.65.26261;10.3897/dez.65.27424;10.3897/zookeys.881.34646;10.3897/zse.94.26859;10.3897/zookeys.806.30051;10.3897/zookeys.800.26292;10.3897/zookeys.796.22517;10.3897/jhr.54.10457;10.3897/jhr.58.12919;10.3897/jhr.62.23559;10.3897/jhr.63.12754;10.3897/jhr.70.34206;10.3897/jhr.72.38908;10.3897/zookeys.789.27022;10.3897/zookeys.785.28006;10.3897/zookeys.766.24523;10.3897/zookeys.753.22366;10.3897/zookeys.748.23856;10.3897/zookeys.736.21628;10.3897/zookeys.715.20497;10.3897/zookeys.704.13304;10.3897/zookeys.878.37403;10.3897/zookeys.861.32594;10.3897/zookeys.853.33311;10.3897/zookeys.803.28903;10.3897/zookeys.700.11784;10.3897/zookeys.693.13012;10.3897/zookeys.669.12608;10.3897/zookeys.664.11881;10.3897/zookeys.681.12522;10.3897/zookeys.674.11435;10.3897/zookeys.658.11569;10.3897/zookeys.974.54536;10.3897/zookeys.982.52363;10.3897/jhr.76.48004;10.3897/jhr.76.38340;10.3897/dez.66.47447;10.3897/zookeys.1023.53404;10.3897/zookeys.1028.61018;10.3897/JHR.50.8220;10.3897/zookeys.787.26948;10.3897/zookeys.767.21105;10.3897/zookeys.521.5995;10.3897/zookeys.522.10294;10.3897/zookeys.758.23019;10.3897/zookeys.746.23637;10.3897/zookeys.541.6297;10.3897/zookeys.551.6168;10.3897/dez.63.7556;10.3897/zookeys.670.11839;10.3897/zookeys.651.10336;10.3897/zookeys.637.9384;10.3897/zookeys.558.6040;10.3897/zookeys.559.6134;10.3897/zookeys.565.7185;10.3897/zookeys.577.7301;10.3897/zookeys.597.7520;10.3897/zookeys.944.49921;10.3897/zookeys.651.11235;10.3897/zookeys.649.10213;10.3897/zookeys.640.10334;10.3897/zookeys.639.10893;10.3897/zookeys.636.10216;10.3897/zookeys.628.9805;10.3897/zookeys.612.7873;10.3897/zookeys.604.8203;10.3897/evolsyst.4.60525;10.3897/zookeys.566.7344;10.3897/zookeys.524.6075
333,NHMW,Deutsche Entomologische Zeitschrift;ZooKeys;Subterranean Biology,10.3897/dez.65.26261;10.3897/zookeys.837.32057;10.3897/zookeys.835.33231;10.3897/zookeys.833.32413;10.3897/zookeys.800.26292;10.3897/zookeys.796.22517;10.3897/zookeys.795.28384;10.3897/zookeys.786.28270;10.3897/subtbiol.23.14930;10.3897/zookeys.715.15913;10.3897/zookeys.878.37403;10.3897/zookeys.846.31497;10.3897/zookeys.842.33052;10.3897/zookeys.669.12561;10.3897/zookeys.803.28903;10.3897/zookeys.687.13844;10.3897/zookeys.685.13890;10.3897/zookeys.554.6065;10.3897/zookeys.577.7254;10.3897/zookeys.681.12522;10.3897/zookeys.619.9951;10.3897/zookeys.977.57088;10.3897/zookeys.993.53805;10.3897/zookeys.599.8168;10.3897/zookeys.582.7426;10.3897/zookeys.1004.58537;10.3897/zookeys.523.6066;10.3897/zookeys.1010.58759;10.3897/subtbiol.38.64762;10.3897/zookeys.1035.65767;10.3897/zookeys.1037.64038;10.3897/zookeys.769.25258;10.3897/zookeys.761.24214
92,ZIN,Deutsche Entomologische Zeitschrift;ZooKeys;Nota Lepidopterologica;Journal of Hymenoptera Research,10.3897/dez.65.26261;10.3897/zookeys.837.32057;10.3897/nl.40.13085;10.3897/zookeys.853.33311;10.3897/jhr.75.47006;10.3897/zookeys.914.46652;10.3897/zookeys.953.52282;10.3897/zookeys.662.11267;10.3897/zookeys.974.56059;10.3897/zookeys.995.55981;10.3897/jhr.76.48004;10.3897/jhr.74.39299;10.3897/zookeys.596.8725;10.3897/zookeys.593.8511;10.3897/zookeys.970.54801;10.3897/zookeys.1028.61018
466,MNHN,Deutsche Entomologische Zeitschrift;ZooKeys;Zoosystematics and Evolution;Journal of Hymenoptera Research;MycoKeys,10.3897/dez.65.26693;10.3897/zookeys.837.32057;10.3897/zookeys.824.31635;10.3897/zookeys.821.29019;10.3897/zse.95.32818;10.3897/zse.93.10802;10.3897/zse.92.9945;10.3897/zookeys.811.29187;10.3897/zookeys.803.28124;10.3897/zookeys.802.26622;10.3897/zookeys.800.26292;10.3897/zookeys.796.22517;10.3897/jhr.55.12209;10.3897/jhr.64.25453;10.3897/jhr.68.30131;10.3897/zookeys.788.26325;10.3897/zookeys.786.28270;10.3897/zookeys.782.27938;10.3897/zookeys.768.24423;10.3897/zookeys.764.25108;10.3897/zookeys.760.24837;10.3897/zookeys.752.23712;10.3897/zookeys.747.24351;10.3897/zookeys.740.21729;10.3897/zookeys.740.20458;10.3897/zookeys.699.12031;10.3897/zookeys.870.36970;10.3897/zookeys.848.32263;10.3897/zookeys.539.6664;10.3897/zookeys.547.9698;10.3897/zookeys.803.28903;10.3897/zookeys.697.13381;10.3897/zookeys.668.11347;10.3897/zookeys.899.47070;10.3897/zookeys.917.39270;10.3897/mycokeys.67.51811;10.3897/zookeys.545.6111;10.3897/zookeys.572.7177;10.3897/zookeys.594.8768;10.3897/zookeys.935.51931;10.3897/zookeys.963.54714;10.3897/zookeys.680.11162;10.3897/zookeys.679.12547;10.3897/zookeys.677.12435;10.3897/zookeys.648.10935;10.3897/zookeys.646.11397;10.3897/zookeys.635.9915;10.3897/zookeys.632.9652;10.3897/zookeys.619.10043;10.3897/zookeys.615.9179;10.3897/zookeys.980.54100;10.3897/zookeys.987.54234;10.3897/zookeys.1001.58447;10.3897/zookeys.600.9345;10.3897/zookeys.592.8118;10.3897/zookeys.578.7994;10.3897/zookeys.566.7344;10.3897/zookeys.566.6982;10.3897/zookeys.561.7137;10.3897/zookeys.554.6120;10.3897/zookeys.554.6069;10.3897/zookeys.523.6066;10.3897/zookeys.1010.58759;10.3897/zookeys.1019.59881;10.3897/zookeys.1023.58733;10.3897/zookeys.1031.56035;10.3897/zookeys.1032.63905;10.3897/zookeys.1039.66493;10.3897/zookeys.838.28634;10.3897/zookeys.765.24395;10.3897/zse.93.10188;10.3897/zookeys.957.52565;10.3897/zookeys.984.53587;10.3897/zookeys.997.52857
101,NHRS,Deutsche Entomologische Zeitschrift;Journal of Hymenoptera Research;ZooKeys,10.3897/dez.65.26693;10.3897/jhr.72.38908;10.3897/zookeys.718.21151;10.3897/zookeys.530.6047;10.3897/zookeys.963.53470;10.3897/zookeys.677.12435;10.3897/zookeys.632.10483;10.3897/zookeys.984.53587;10.3897/zookeys.604.9049;10.3897/jhr.72.39339
83,MSNG,Deutsche Entomologische Zeitschrift;Journal of Hymenoptera Research;ZooKeys,10.3897/dez.65.26693;10.3897/jhr.71.35754;10.3897/zookeys.524.5990;10.3897/zookeys.651.10336;10.3897/zookeys.547.9375;10.3897/zookeys.572.7177;10.3897/zookeys.680.12135;10.3897/zookeys.679.11967;10.3897/zookeys.559.6281;10.3897/zookeys.553.5999;10.3897/zookeys.670.11839
42,MRT,Deutsche Entomologische Zeitschrift,10.3897/dez.65.26693
111,RBINS,Deutsche Entomologische Zeitschrift;ZooKeys;Journal of Hymenoptera Research,10.3897/dez.65.26693;10.3897/zookeys.798.28107;10.3897/jhr.51.9830;10.3897/jhr.53.9902;10.3897/zookeys.743.22696;10.3897/zookeys.723.21817;10.3897/zookeys.870.36970;10.3897/zookeys.675.12453;10.3897/zookeys.592.8118;10.3897/zookeys.559.6281;10.3897/zookeys.1019.61496;10.3897/zookeys.1018.61033;10.3897/zookeys.1039.66493
356,ANIC,Deutsche Entomologische Zeitschrift;ZooKeys;Journal of Hymenoptera Research,10.3897/dez.65.27424;10.3897/zookeys.830.32463;10.3897/zookeys.818.32061;10.3897/zookeys.805.28757;10.3897/jhr.57.12892;10.3897/jhr.64.24282;10.3897/jhr.64.25219;10.3897/jhr.73.38383;10.3897/zookeys.793.24790;10.3897/zookeys.517.10187;10.3897/zookeys.521.5995;10.3897/zookeys.718.21151;10.3897/zookeys.707.12649;10.3897/zookeys.695.19906;10.3897/zookeys.530.6047;10.3897/zookeys.541.6643;10.3897/zookeys.803.28903;10.3897/zookeys.700.11784;10.3897/zookeys.549.6939;10.3897/zookeys.556.6126;10.3897/zookeys.653.11177;10.3897/zookeys.638.10883;10.3897/zookeys.618.8059;10.3897/zookeys.586.6774;10.3897/zookeys.582.7709
173,CUIC,Deutsche Entomologische Zeitschrift;Journal of Hymenoptera Research;ZooKeys,10.3897/dez.65.27424;10.3897/jhr.71.35754;10.3897/zookeys.537.6115;10.3897/zookeys.544.6074;10.3897/zookeys.611.9058;10.3897/zookeys.982.52363;10.3897/zookeys.566.7344;10.3897/zookeys.566.6982
